                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80563,                0.01152,                0.06285,                0.43387,                 1.0821,                0.99452,                      1,                0.99121,                0.76064,                0.99452,                      1,                0.99121,                0.99121,                0.84925,                0.01038,                0.00034,                0.37353,                0.99979,                0.00769,                0.00769,                0.00769
                     37,                0.77567,                0.01176,                0.05247,                0.42616,                 1.0662,                0.99514,                0.99963,                0.99476,                0.78531,                0.99514,                0.99963,                0.99476,                0.99476,                0.86985,                0.00889,                0.00024,                0.35437,                 1.0014,               0.007624,               0.007624,               0.007624
                     38,                 0.7755,                0.01107,                  0.063,                0.42431,                 1.0618,                0.99514,                0.99961,                0.99437,                0.71039,                0.99514,                0.99961,                0.99437,                0.99437,                 1.0372,                0.00802,                0.00076,                0.38633,                 1.0903,               0.007558,               0.007558,               0.007558
                     39,                0.78521,                0.01075,                0.06674,                0.42595,                 1.0699,                0.99514,                0.99926,                0.99403,                0.74756,                0.99514,                0.99926,                0.99403,                0.99403,                 0.9441,                0.01315,                0.00038,                0.38456,                 1.0423,               0.007492,               0.007492,               0.007492
                     40,                0.76188,                0.01264,                 0.0641,                0.41974,                 1.0619,                0.99438,                      1,                0.99053,                0.77317,                0.99438,                      1,                0.99053,                0.99053,                 0.8548,                0.00833,                0.00103,                0.37236,                 1.0093,               0.007426,               0.007426,               0.007426
                     41,                0.77589,                0.01045,                0.06705,                0.42181,                 1.0732,                0.99403,                      1,                0.99141,                0.78871,                0.99403,                      1,                0.99141,                0.99141,                0.78614,                0.01208,                0.00043,                0.35968,                0.98166,                0.00736,                0.00736,                0.00736
                     42,                0.77945,                0.00988,                0.07176,                0.41564,                 1.0695,                  0.994,                      1,                0.99427,                0.81615,                  0.994,                      1,                0.99427,                0.99427,                0.74814,                0.00818,                0.00031,                0.35813,                0.95965,               0.007294,               0.007294,               0.007294
                     43,                0.77869,                0.01265,                0.06579,                0.41557,                  1.074,                0.99331,                      1,                0.99476,                0.79971,                0.99331,                      1,                0.99476,                0.99476,                0.82266,                0.00931,                0.00015,                 0.3624,                0.99597,               0.007228,               0.007228,               0.007228
                     44,                0.75077,                 0.0114,                0.08451,                0.41154,                 1.0547,                0.99514,                0.99957,                 0.9949,                0.78942,                0.99514,                0.99957,                 0.9949,                 0.9949,                0.81939,                0.00957,                  0.007,                0.34821,                 1.0003,               0.007162,               0.007162,               0.007162
                     45,                0.73756,                0.01058,                0.06534,                 0.4044,                 1.0436,                0.99514,                0.99882,                 0.9949,                0.81222,                0.99514,                0.99882,                 0.9949,                 0.9949,                0.74184,                0.00794,                0.00046,                0.33332,                0.95187,               0.007096,               0.007096,               0.007096
