epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3021.69,0.41674,0.43172,0.31813,0.82877,0,0.67576,0.95826,0.93834,0.77357,0.67576,0.95826,0.93834,0.84621,0.43403,0.3364,0.71206,0.89488,0,0.0007558,0.0007558,0.0007558
39,3095.69,0.40939,0.41691,0.31775,0.82245,0,0.71581,0.95826,0.93768,0.79379,0.71581,0.95826,0.93768,0.85838,0.42791,0.36295,0.57613,0.8866,0,0.0007492,0.0007492,0.0007492
40,3170.05,0.40475,0.43692,0.31929,0.82784,0,0.75411,0.99113,0.97326,0.77624,0.75411,0.99113,0.97326,0.88057,0.4225,0.32812,0.53657,0.89176,0,0.0007426,0.0007426,0.0007426
41,3244.4,0.38628,0.40685,0.30062,0.8222,0,0.93858,0.99359,0.99147,0.8374,0.93858,0.99359,0.99147,0.9018,0.41457,0.34949,0.37473,0.88131,0,0.000736,0.000736,0.000736
42,3318.6,0.38628,0.41673,0.30626,0.81718,0,0.7763,0.97507,0.98167,0.8232,0.7763,0.97507,0.98167,0.87415,0.44536,0.36976,0.51682,0.89966,0,0.0007294,0.0007294,0.0007294
43,3392.57,0.38645,0.42679,0.2976,0.83376,0,0.80589,0.99254,0.98457,0.80383,0.80589,0.99254,0.98457,0.89807,0.41111,0.3792,0.44024,0.88519,0,0.0007228,0.0007228,0.0007228
44,3466.5,0.39122,0.41521,0.29067,0.82847,0,0.86333,0.95559,0.98168,0.81903,0.86333,0.95559,0.98168,0.87965,0.39421,0.35382,0.39046,0.89676,0,0.0007162,0.0007162,0.0007162
45,3540.52,0.37499,0.41225,0.27802,0.82171,0,0.92398,0.9339,0.97421,0.84278,0.92398,0.9339,0.97421,0.87333,0.3842,0.34623,0.39285,0.87921,0,0.0007096,0.0007096,0.0007096
46,3614.66,0.3877,0.4135,0.28911,0.82545,0,0.92841,0.98176,0.99147,0.82793,0.92841,0.98176,0.99147,0.89889,0.44706,0.36061,0.44865,0.88197,0,0.000703,0.000703,0.000703
47,3688.77,0.38473,0.41461,0.29658,0.82034,0,0.93645,0.94012,0.97558,0.81874,0.93645,0.94012,0.97558,0.88311,0.42316,0.35449,0.33345,0.88795,0,0.0006964,0.0006964,0.0006964
48,3762.81,0.38694,0.4195,0.29728,0.82741,0,0.74736,0.95128,0.96585,0.78135,0.74736,0.95128,0.96585,0.88392,0.46435,0.34996,0.43268,0.89677,0,0.0006898,0.0006898,0.0006898
49,3836.89,0.39115,0.40813,0.30773,0.82451,0,0.91557,0.95826,0.9767,0.78449,0.91557,0.95826,0.9767,0.91043,0.42478,0.32935,0.35307,0.8928,0,0.0006832,0.0006832,0.0006832
50,3910.95,0.38498,0.43122,0.29113,0.82983,0,0.80624,0.94162,0.98375,0.81936,0.80624,0.94162,0.98375,0.88923,0.42079,0.35441,0.4605,0.88613,0,0.0006766,0.0006766,0.0006766
51,3984.95,0.38253,0.40493,0.29059,0.82762,0,0.97849,0.95826,0.98992,0.7891,0.97849,0.95826,0.98992,0.90312,0.40123,0.32969,0.34857,0.88899,0,0.00067,0.00067,0.00067
52,4059.06,0.3848,0.41646,0.2974,0.82095,0,0.91304,0.99182,0.98735,0.78637,0.91304,0.99182,0.98735,0.90263,0.42041,0.33248,0.40354,0.89685,0,0.0006634,0.0006634,0.0006634
53,4133.13,0.38285,0.414,0.29086,0.81963,0,0.90765,0.9958,0.98313,0.80058,0.90765,0.9958,0.98313,0.89007,0.45116,0.32375,0.3132,0.88637,0,0.0006568,0.0006568,0.0006568
54,4207.2,0.37864,0.41646,0.27862,0.82562,0,0.82764,0.98023,0.97506,0.84221,0.82764,0.98023,0.97506,0.9067,0.42963,0.32293,0.39528,0.87063,0,0.0006502,0.0006502,0.0006502
55,4281.44,0.38005,0.41488,0.28801,0.82197,0,0.92099,0.9916,0.9909,0.83688,0.92099,0.9916,0.9909,0.91021,0.39218,0.35772,0.33634,0.86917,0,0.0006436,0.0006436,0.0006436
56,4355.51,0.37271,0.39347,0.28451,0.81865,0,0.82879,0.97269,0.99147,0.84414,0.82879,0.97269,0.99147,0.9348,0.35915,0.3067,0.43289,0.85859,0,0.000637,0.000637,0.000637
57,4429.86,0.35938,0.39934,0.27062,0.81636,0,1,0.99682,0.995,0.85878,1,0.99682,0.995,0.92622,0.40732,0.33072,0.31757,0.86932,0,0.0006304,0.0006304,0.0006304
58,4504.04,0.36737,0.40058,0.27255,0.82366,0,1,0.99099,0.995,0.86675,1,0.99099,0.995,0.92999,0.41254,0.3198,0.38235,0.86392,0,0.0006238,0.0006238,0.0006238
59,4578.4,0.37296,0.41094,0.2749,0.81995,0,0.93298,0.98917,0.99147,0.87961,0.93298,0.98917,0.99147,0.91725,0.36592,0.34201,0.354,0.85993,0,0.0006172,0.0006172,0.0006172
60,4652.64,0.37319,0.40324,0.27136,0.81707,0,0.96849,0.98924,0.99313,0.86195,0.96849,0.98924,0.99313,0.91922,0.38535,0.34439,0.36249,0.86104,0,0.0006106,0.0006106,0.0006106
61,4726.74,0.36776,0.41985,0.2728,0.81608,0,0.96626,0.98527,0.99313,0.82675,0.96626,0.98527,0.99313,0.91492,0.43056,0.33705,0.30958,0.86912,0,0.000604,0.000604,0.000604
62,4800.77,0.36406,0.39798,0.26703,0.81761,0,0.96216,0.99202,0.99313,0.87392,0.96216,0.99202,0.99313,0.9314,0.38672,0.35516,0.30601,0.8569,0,0.0005974,0.0005974,0.0005974
63,4875.11,0.36338,0.4106,0.26078,0.81536,0,0.99445,0.99352,0.995,0.87588,0.99445,0.99352,0.995,0.92359,0.36326,0.33665,0.27516,0.85331,0,0.0005908,0.0005908,0.0005908
64,4949.15,0.34865,0.39186,0.2554,0.81553,0,0.99979,0.98994,0.995,0.86193,0.99979,0.98994,0.995,0.93501,0.38063,0.3256,0.28454,0.86236,0,0.0005842,0.0005842,0.0005842
65,5023.24,0.35408,0.39384,0.25983,0.82155,0,0.96773,0.99458,0.99313,0.88142,0.96773,0.99458,0.99313,0.92641,0.3959,0.33373,0.32694,0.85884,0,0.0005776,0.0005776,0.0005776
66,5097.54,0.36225,0.39743,0.26113,0.81516,0,1,0.99696,0.995,0.87711,1,0.99696,0.995,0.92201,0.35959,0.33033,0.29147,0.8512,0,0.000571,0.000571,0.000571
67,5171.6,0.35886,0.40521,0.26524,0.81438,0,0.96787,0.99413,0.99313,0.84465,0.96787,0.99413,0.99313,0.89259,0.38641,0.35541,0.28435,0.86402,0,0.0005644,0.0005644,0.0005644
68,5245.7,0.36011,0.39794,0.25695,0.8158,0,0.96664,0.99442,0.99094,0.87669,0.96664,0.99442,0.99094,0.92104,0.40247,0.33788,0.32485,0.85815,0,0.0005578,0.0005578,0.0005578
69,5319.71,0.35173,0.38836,0.25667,0.8088,0,0.95886,0.99118,0.98854,0.89721,0.95886,0.99118,0.98854,0.93327,0.3668,0.31708,0.30111,0.85278,0,0.0005512,0.0005512,0.0005512
